# HOG = Hierarchical orthologous group; sequence name given if present as a one-to-one HOG in at least 3 sister sp pairs (else = NA)
# species codes = Tbi = T. bartmani, Tce = T. cristinae, Tps = T. poppensis, Tcm = T. californicum, Tpa = T. podura, Tte = T. tahoe, Tms = T. monikensis, Tdi = T. douglasi, Tsi = T. shepardi, and Tge = T. genevievae
HOG	Tbi	Tte	Tce	Tms	Tcm	Tsi	Tpa	Tge	Tps	Tdi
HOG_23350	TBI_11084-RA	TTE_01715-RA	Tce_TRINITY_DN89135_c0_g1::Tce_TRINITY_DN89135_c0_g1_i3::g.12114::m.12114	TMS_01078-RA	TCM_01661-RA	TSI_09756-RA	TPA_07580-RA	Tge_TRINITY_DN16968_c0_g1::Tge_TRINITY_DN16968_c0_g1_i1::g.17455::m.17455	TPS_03248-RA	TDI_00991-RB
HOG_22513	TBI_01222-RA	TTE_01735-RA	TCE_00960-RA	TMS_00931-RA	TCM_01377-RA	TSI_00684-RA	TPA_03520-RA	TGE_03498-RA	TPS_00210-RA	TDI_00507-RA
HOG_6739	TBI_06836-RA	TTE_06110-RA	TCE_01904-RA	TMS_02577-RA	TCM_02212-RA	TSI_04461-RA	TPA_08942-RA	TGE_09084-RA	TPS_02951-RA	TDI_05862-RA
HOG_22517	TBI_12615-RA	TTE_11906-RA	TCE_09641-RA	TMS_07416-RA	TCM_12436-RA	TSI_12361-RA	Tpa_TRINITY_DN128187_c0_g1::Tpa_TRINITY_DN128187_c0_g1_i4::g.17584::m.17584	TGE_01269-RA	TPS_12709-RA	TDI_10653-RA
HOG_1572	TBI_00455-RA	TTE_00908-RA	TCE_00929-RA	TMS_01443-RA	TCM_01299-RA	TSI_01273-RA	TPA_05735-RA	TGE_00239-RA	TPS_00946-RA	TDI_02147-RA
HOG_5833	TBI_07236-RA	TTE_06157-RA	TCE_10650-RA	TMS_03014-RA	TCM_02039-RA	TSI_02296-RA	TPA_09143-RA	TGE_01239-RA	TPS_14950-RA	TDI_05656-RA
HOG_5459	TBI_02741-RA	TTE_10063-RA	TCE_00827-RA	TMS_05218-RA	TCM_01780-RA	TSI_00133-RA	Tpa_TRINITY_DN132716_c1_g2::Tpa_TRINITY_DN132716_c1_g2_i3::g.13308::m.13308	TGE_03342-RA	TPS_02021-RA	TDI_01546-RA
HOG_19619	TBI_01212-RA	TTE_07602-RA	TCE_00058-RA	TMS_01057-RA	TCM_00549-RA	TSI_00009-RA	TPA_08480-RA	TGE_00011-RA	TPS_00986-RA	TDI_04393-RA
HOG_22199	TBI_02402-RA	TTE_06950-RA	TCE_01092-RA	TMS_02254-RA	TCM_00917-RA	TSI_07477-RA	TPA_12055-RA	TGE_03401-RA	TPS_00380-RA	TDI_04605-RA
HOG_19003	TBI_05838-RA	TTE_00917-RA	TCE_01941-RA	TMS_01643-RA	TCM_06395-RA	TSI_02431-RA	Tpa_TRINITY_DN136702_c0_g3::Tpa_TRINITY_DN136702_c0_g3_i5::g.7545::m.7545	TGE_06906-RA	Tps_TRINITY_DN91218_c0_g2::Tps_TRINITY_DN91218_c0_g2_i1::g.11994::m.11994	TDI_09993-RA
HOG_19820	TBI_03749-RA	TTE_03505-RA	Tce_TRINITY_DN107205_c0_g1::Tce_TRINITY_DN107205_c0_g1_i1::g.2448::m.2448	TMS_02709-RA	TCM_03623-RA	TSI_02925-RA	TPA_00909-RA	TGE_04358-RA	TPS_02719-RA	TDI_05417-RA
HOG_22190	Tbi_TRINITY_DN62201_c0_g2::Tbi_TRINITY_DN62201_c0_g2_i1::g.1318::m.1318	TTE_01272-RA	TCE_03631-RA	TMS_02718-RA	TCM_00982-RA	TSI_00296-RA	TPA_01611-RA	TGE_00131-RA	TPS_00407-RA	TDI_02238-RA
HOG_19263	TBI_10419-RA	TTE_03935-RA	TCE_10266-RA	TMS_00270-RA	TCM_04379-RA	TSI_10360-RA	TPA_03268-RA	TGE_01692-RA	TPS_06097-RA	TDI_08302-RA
HOG_22776	TBI_07928-RA	TTE_06702-RA	TCE_06181-RA	TMS_07335-RA	TCM_07731-RA	TSI_04339-RA	TPA_06261-RA	TGE_10570-RA	TPS_05672-RA	TDI_05859-RA
HOG_19261	TBI_00123-RA	TTE_07469-RA	TCE_10114-RA	TMS_02588-RA	TCM_01298-RB	TSI_00021-RA	TPA_09457-RA	TGE_01144-RA	TPS_10441-RA	TDI_01961-RA
HOG_215	Tbi_TRINITY_DN59658_c0_g1::Tbi_TRINITY_DN59658_c0_g1_i1::g.15954::m.15954	Tte_TRINITY_DN28517_c1_g3::Tte_TRINITY_DN28517_c1_g3_i4::g.5225::m.5225	Tce_TRINITY_DN100612_c0_g1::Tce_TRINITY_DN100612_c0_g1_i1::g.9729::m.9729	Tms_TRINITY_DN27555_c0_g1::Tms_TRINITY_DN27555_c0_g1_i1::g.18802::m.18802	Tcm_TRINITY_DN100634_c0_g1::Tcm_TRINITY_DN100634_c0_g1_i1::g.9533::m.9533	Tsi_TRINITY_DN11860_c0_g1::Tsi_TRINITY_DN11860_c0_g1_i1::g.17614::m.17614	Tpa_TRINITY_DN136416_c0_g2::Tpa_TRINITY_DN136416_c0_g2_i1::g.7220::m.7220	Tge_TRINITY_DN37438_c0_g1::Tge_TRINITY_DN37438_c0_g1_i1::g.15198::m.15198	TPS_06460-RA	Tdi_TRINITY_DN14627_c0_g1::Tdi_TRINITY_DN14627_c0_g1_i1::g.8262::m.8262
HOG_22773	TBI_02477-RA	TTE_10549-RA	TCE_03484-RA	TMS_09046-RA	TCM_01744-RA	TSI_12525-RA	TPA_06937-RA	TGE_05973-RA	TPS_15358-RA	TDI_13665-RA
HOG_210	Tbi_TRINITY_DN67697_c1_g1::Tbi_TRINITY_DN67697_c1_g1_i1::g.21466::m.21466	TTE_09064-RA	TCE_06369-RA	Tms_TRINITY_DN56101_c0_g1::Tms_TRINITY_DN56101_c0_g1_i1::g.21667::m.21667	Tcm_TRINITY_DN100125_c0_g1::Tcm_TRINITY_DN100125_c0_g1_i2::g.17119::m.17119	Tsi_TRINITY_DN16525_c0_g1::Tsi_TRINITY_DN16525_c0_g1_i1::g.20564::m.20564	TPA_14505-RA	Tge_TRINITY_DN26266_c0_g1::Tge_TRINITY_DN26266_c0_g1_i1::g.21015::m.21015	TPS_11319-RA	Tdi_TRINITY_DN66117_c0_g1::Tdi_TRINITY_DN66117_c0_g1_i1::g.19645::m.19645
HOG_6312	TBI_11255-RA	TTE_09522-RA	TCE_09351-RA	TMS_05870-RA	TCM_07527-RA	TSI_07480-RA	TPA_15796-RA	TGE_08911-RA	TPS_08107-RA	TDI_01487-RC
HOG_19269	TBI_03632-RA	TTE_06166-RA	TCE_04759-RA	TMS_05650-RA	TCM_02491-RA	TSI_02239-RA	TPA_11767-RA	TGE_03915-RA	TPS_09431-RA	TDI_07617-RA
HOG_16764	TBI_10035-RA	TTE_09655-RA	TCE_08785-RA	TMS_06342-RA	TCM_08756-RA	TSI_08467-RA	TPA_15518-RA	TGE_07759-RA	TPS_06599-RA	TDI_08620-RA
HOG_16762	TBI_12463-RA	TTE_07746-RA	TCE_08980-RA	TMS_05486-RA	TCM_07036-RA	TSI_08878-RA	Tpa_TRINITY_DN135215_c0_g1::Tpa_TRINITY_DN135215_c0_g1_i1::g.7535::m.7535	TGE_08262-RA	TPS_07680-RA	TDI_05410-RB
HOG_22779	TBI_08725-RA	TTE_07800-RA	TCE_10564-RA	TMS_00980-RA	TCM_03221-RA	TSI_05543-RA	TPA_00613-RA	TGE_01403-RA	TPS_13414-RA	TDI_07084-RA
HOG_22778	TBI_11446-RA	TTE_10681-RA	TCE_10278-RA	Tms_TRINITY_DN9171_c0_g1::Tms_TRINITY_DN9171_c0_g1_i1::g.18044::m.18044	TCM_09047-RA	TSI_08796-RA	TPA_07016-RA	TGE_10253-RA	TPS_08051-RA	TDI_09545-RA
HOG_22174	TBI_13977-RA	TTE_11679-RA	TCE_07925-RA	TMS_11291-RA	TCM_14468-RA	TSI_08358-RA	TPA_15477-RA	TGE_11961-RA	TPS_06220-RA	TDI_08079-RA
HOG_15127	TBI_01387-RA	TTE_04446-RA	TCE_06697-RA	TMS_09403-RA	TCM_01879-RA	TSI_07326-RA	TPA_09051-RA	TGE_09236-RA	TPS_04585-RA	TDI_03467-RA
HOG_16569	TBI_01918-RA	TTE_00819-RA	TCE_00586-RA	TMS_01286-RA	TCM_01440-RA	TSI_01658-RA	TPA_00788-RA	TGE_02295-RA	TPS_00290-RA	TDI_01604-RA
HOG_19795	TBI_04256-RA	TTE_03010-RA	TCE_02019-RA	TMS_01760-RA	TCM_07174-RA	TSI_01154-RA	TPA_02680-RA	TGE_09412-RA	TPS_00159-RA	TDI_02025-RA
HOG_19794	TBI_03773-RA	TTE_07104-RA	TCE_06255-RA	TMS_03144-RA	TCM_02827-RA	TSI_03328-RA	TPA_04041-RA	TGE_03579-RA	TPS_01685-RA	TDI_02272-RA
HOG_16567	TBI_00847-RA	TTE_05493-RA	TCE_01649-RA	TMS_05098-RA	TCM_00830-RA	TSI_02047-RA	TPA_01478-RA	Tge_TRINITY_DN36659_c0_g1::Tge_TRINITY_DN36659_c0_g1_i1::g.16573::m.16573	TPS_01420-RA	TDI_11485-RA
HOG_22178	TBI_08115-RA	TTE_07311-RA	TCE_13648-RA	TMS_12721-RA	TCM_01335-RA	TSI_01338-RA	TPA_06832-RA	TGE_10256-RA	Tps_TRINITY_DN78245_c0_g1::Tps_TRINITY_DN78245_c0_g1_i1::g.18051::m.18051	TDI_12697-RA
HOG_21817	TBI_13531-RA	TTE_01807-RA	TCE_04511-RA	TMS_02680-RA	TCM_04427-RA	TSI_04634-RA	Tpa_TRINITY_DN135030_c1_g5::Tpa_TRINITY_DN135030_c1_g5_i2::g.22850::m.22850	TGE_06468-RA	TPS_03501-RA	TDI_04586-RA
HOG_18647	TBI_00269-RA	TTE_01431-RA	TCE_00406-RA	TMS_01111-RA	TCM_01392-RA	TSI_03403-RA	TPA_08973-RA	TGE_02795-RA	TPS_01109-RA	TDI_01395-RA
HOG_4167	TBI_02671-RA	TTE_01772-RA	TCE_05668-RA	TMS_01149-RA	TCM_01047-RA	TSI_00581-RA	TPA_02081-RA	TGE_02688-RA	TPS_01041-RA	TDI_01286-RB
HOG_6644	Tbi_TRINITY_DN63506_c0_g2::Tbi_TRINITY_DN63506_c0_g2_i1::g.6333::m.6333	TTE_03784-RA	Tce_TRINITY_DN103169_c0_g1::Tce_TRINITY_DN103169_c0_g1_i1::g.6679::m.6679	TMS_02924-RA	TCM_03334-RA	TSI_03252-RA	TPA_02111-RA	TGE_04517-RA	TPS_03521-RA	TDI_02126-RA
HOG_23916	TBI_00586-RA	TTE_02967-RA	TCE_02322-RA	TMS_07677-RA	TCM_05453-RA	TSI_05906-RA	TPA_15939-RA	TGE_04265-RA	Tps_TRINITY_DN87961_c0_g1::Tps_TRINITY_DN87961_c0_g1_i1::g.3695::m.3695	Tdi_TRINITY_DN18478_c0_g1::Tdi_TRINITY_DN18478_c0_g1_i1::g.2939::m.2939
HOG_23911	TBI_09254-RA	TTE_07356-RA	TCE_08560-RA	TMS_00893-RA	TCM_07857-RA	TSI_08977-RA	TPA_04827-RA	TGE_03638-RA	TPS_08708-RA	TDI_11553-RA
HOG_23912	Tbi_TRINITY_DN72627_c0_g1::Tbi_TRINITY_DN72627_c0_g1_i1::g.19701::m.19701	Tte_TRINITY_DN72634_c0_g1::Tte_TRINITY_DN72634_c0_g1_i1::g.23147::m.23147	Tce_TRINITY_DN80819_c0_g1::Tce_TRINITY_DN80819_c0_g1_i1::g.19701::m.19701	Tms_TRINITY_DN51373_c0_g1::Tms_TRINITY_DN51373_c0_g1_i1::g.21810::m.21810	Tcm_TRINITY_DN93173_c0_g1::Tcm_TRINITY_DN93173_c0_g1_i2::g.17445::m.17445	Tsi_TRINITY_DN32342_c0_g1::Tsi_TRINITY_DN32342_c0_g1_i1::g.20825::m.20825	Tpa_TRINITY_DN129387_c0_g1::Tpa_TRINITY_DN129387_c0_g1_i2::g.15595::m.15595	Tge_TRINITY_DN22694_c0_g1::Tge_TRINITY_DN22694_c0_g1_i1::g.22724::m.22724	Tps_TRINITY_DN88076_c0_g1::Tps_TRINITY_DN88076_c0_g1_i1::g.17199::m.17199	Tdi_TRINITY_DN39116_c0_g1::Tdi_TRINITY_DN39116_c0_g1_i1::g.19545::m.19545
HOG_16161	TBI_02587-RA	TTE_09292-RA	TCE_04624-RA	TMS_07628-RA	TCM_04034-RA	TSI_05391-RA	TPA_05897-RA	TGE_02718-RA	TPS_08842-RA	TDI_10213-RA
HOG_19316	TBI_09204-RA	TTE_00612-RA	TCE_01489-RA	Tms_TRINITY_DN55552_c0_g1::Tms_TRINITY_DN55552_c0_g1_i1::g.14004::m.14004	TCM_05364-RA	TSI_05664-RA	TPA_01701-RA	TGE_00311-RA	TPS_15261-RA	TDI_06067-RA
HOG_20572	TBI_03792-RA	TTE_06391-RA	TCE_09026-RA	Tms_TRINITY_DN29063_c4_g2::Tms_TRINITY_DN29063_c4_g2_i2::g.20449::m.20449	Tcm_TRINITY_DN94546_c0_g1::Tcm_TRINITY_DN94546_c0_g1_i1::g.20394::m.20394	Tsi_TRINITY_DN3857_c0_g2::Tsi_TRINITY_DN3857_c0_g2_i1::g.20369::m.20369	Tpa_TRINITY_DN129297_c0_g3::Tpa_TRINITY_DN129297_c0_g3_i1::g.19715::m.19715	TGE_09546-RA	Tps_TRINITY_DN79351_c0_g1::Tps_TRINITY_DN79351_c0_g1_i1::g.17418::m.17418	Tdi_TRINITY_DN21642_c1_g1::Tdi_TRINITY_DN21642_c1_g1_i1::g.18748::m.18748
HOG_19642	TBI_03552-RA	TTE_04375-RA	TCE_04419-RA	TMS_01131-RA	TCM_01494-RA	TSI_04567-RA	TPA_00755-RA	TGE_02698-RA	TPS_01150-RA	TDI_05960-RA
HOG_19645	Tbi_TRINITY_DN68967_c0_g1::Tbi_TRINITY_DN68967_c0_g1_i4::g.13455::m.13455	TTE_09786-RB	TCE_03219-RA	Tms_TRINITY_DN50112_c0_g1::Tms_TRINITY_DN50112_c0_g1_i1::g.14867::m.14867	Tcm_TRINITY_DN97508_c0_g2::Tcm_TRINITY_DN97508_c0_g2_i2::g.12404::m.12404	TSI_06711-RA	Tpa_TRINITY_DN134077_c1_g4::Tpa_TRINITY_DN134077_c1_g4_i1::g.11430::m.11430	TGE_10900-RA	TPS_11974-RA	TDI_10790-RA
HOG_4	TBI_02425-RA	TTE_03876-RA	TCE_03783-RA	TMS_02655-RA	TCM_02847-RA	TSI_02340-RA	TPA_00181-RD	TGE_01807-RA	TPS_01608-RA	TDI_01696-RA
HOG_19311	TBI_02122-RA	TTE_06541-RA	TCE_00144-RA	TMS_01409-RA	TCM_09655-RA	TSI_10220-RA	TPA_03156-RA	TGE_00469-RA	TPS_04934-RA	TDI_03466-RB
HOG_19648	TBI_10140-RA	TTE_09559-RA	TCE_08654-RA	TMS_05074-RA	TCM_05258-RA	TSI_03730-RA	TPA_12371-RA	TGE_09451-RA	TPS_04424-RA	TDI_09940-RA
HOG_5908	TBI_09830-RA	TTE_12450-RA	TCE_09735-RA	TMS_12832-RA	TCM_14505-RA	TSI_12516-RA	TPA_16187-RA	TGE_07086-RA	TPS_08389-RA	TDI_10579-RA
HOG_19319	TBI_04811-RA	TTE_03986-RA	TCE_10604-RA	TMS_09504-RA	TCM_10268-RA	TSI_00903-RA	TPA_08251-RA	TGE_01952-RB	TPS_09141-RA	TDI_02818-RA
HOG_17562	TBI_01458-RA	TTE_02498-RA	TCE_04142-RA	TMS_01489-RA	TCM_01079-RA	TSI_05108-RA	TPA_02838-RA	TGE_03887-RA	TPS_01835-RA	Tdi_TRINITY_DN11940_c0_g2::Tdi_TRINITY_DN11940_c0_g2_i1::g.8117::m.8117
HOG_21851	TBI_02341-RA	TTE_07175-RB	TCE_12580-RA	TMS_04925-RA	TCM_07626-RA	TSI_06830-RA	TPA_03457-RA	TGE_01019-RA	TPS_07879-RA	TDI_05321-RA
HOG_21850	TBI_12259-RA	TTE_08702-RA	TCE_13375-RA	TMS_11504-RA	Tcm_TRINITY_DN81272_c0_g1::Tcm_TRINITY_DN81272_c0_g1_i1::g.15864::m.15864	TSI_08642-RA	Tpa_TRINITY_DN133007_c0_g2::Tpa_TRINITY_DN133007_c0_g2_i2::g.17360::m.17360	TGE_06994-RA	TPS_08841-RA	TDI_08857-RA
HOG_17567	TBI_00186-RA	Tte_TRINITY_DN4003_c0_g2::Tte_TRINITY_DN4003_c0_g2_i1::g.12985::m.12985	TCE_00904-RA	Tms_TRINITY_DN11676_c0_g1::Tms_TRINITY_DN11676_c0_g1_i1::g.9901::m.9901	TCM_08694-RA	Tsi_TRINITY_DN31312_c2_g1::Tsi_TRINITY_DN31312_c2_g1_i1::g.4067::m.4067	TPA_08244-RA	Tge_TRINITY_DN34072_c0_g1::Tge_TRINITY_DN34072_c0_g1_i1::g.5865::m.5865	TPS_05124-RA	Tdi_TRINITY_DN29846_c0_g1::Tdi_TRINITY_DN29846_c0_g1_i1::g.8248::m.8248
HOG_3481	TBI_11374-RA	TTE_11803-RA	TCE_08729-RA	TMS_08366-RA	TCM_05841-RA	TSI_07602-RA	Tpa_TRINITY_DN141694_c0_g4::Tpa_TRINITY_DN141694_c0_g4_i1::g.11918::m.11918	TGE_04847-RA	TPS_12549-RA	TDI_06682-RA
HOG_21859	TBI_00494-RA	TTE_07296-RA	TCE_00072-RA	TMS_00467-RA	TCM_00271-RA	TSI_00806-RA	TPA_04434-RA	TGE_00071-RA	TPS_13761-RA	TDI_00056-RA
HOG_21858	TBI_03756-RA	TTE_04466-RA	Tce_TRINITY_DN93924_c0_g2::Tce_TRINITY_DN93924_c0_g2_i1::g.18069::m.18069	Tms_TRINITY_DN28355_c0_g1::Tms_TRINITY_DN28355_c0_g1_i1::g.16556::m.16556	Tcm_TRINITY_DN103756_c2_g1::Tcm_TRINITY_DN103756_c2_g1_i3::g.13918::m.13918	Tsi_TRINITY_DN31992_c0_g2::Tsi_TRINITY_DN31992_c0_g2_i10::g.12559::m.12559	Tpa_TRINITY_DN135588_c3_g1::Tpa_TRINITY_DN135588_c3_g1_i1::g.16697::m.16697	TGE_02502-RA	Tps_TRINITY_DN89191_c0_g1::Tps_TRINITY_DN89191_c0_g1_i2::g.12515::m.12515	Tdi_TRINITY_DN31527_c0_g3::Tdi_TRINITY_DN31527_c0_g3_i1::g.13608::m.13608
HOG_4562	TBI_13772-RA	TTE_12634-RA	TCE_00352-RA	TMS_03210-RA	TCM_01468-RA	TSI_10570-RA	TPA_13072-RA	TGE_05246-RA	TPS_01260-RA	TDI_07730-RA
HOG_21690	TBI_07838-RA	TTE_08723-RA	TCE_00541-RA	TMS_12656-RA	TCM_07818-RA	TSI_08486-RA	TPA_04640-RA	Tge_TRINITY_DN36311_c0_g1::Tge_TRINITY_DN36311_c0_g1_i1::g.1667::m.1667	TPS_06078-RA	TDI_13768-RA
HOG_4567	Tbi_TRINITY_DN66211_c0_g3::Tbi_TRINITY_DN66211_c0_g3_i3::g.19741::m.19741	TTE_02985-RA	TCE_10859-RA	TMS_11532-RA	Tcm_TRINITY_DN99898_c0_g1::Tcm_TRINITY_DN99898_c0_g1_i1::g.19478::m.19478	Tsi_TRINITY_DN20128_c0_g1::Tsi_TRINITY_DN20128_c0_g1_i1::g.22776::m.22776	Tpa_TRINITY_DN132829_c0_g1::Tpa_TRINITY_DN132829_c0_g1_i1::g.18030::m.18030	Tge_TRINITY_DN38837_c0_g1::Tge_TRINITY_DN38837_c0_g1_i1::g.20425::m.20425	TPS_11841-RA	Tdi_TRINITY_DN29043_c0_g1::Tdi_TRINITY_DN29043_c0_g1_i2::g.17605::m.17605
HOG_21078	TBI_09376-RB	TTE_10143-RA	TCE_11787-RA	TMS_01382-RA	Tcm_TRINITY_DN106780_c0_g1::Tcm_TRINITY_DN106780_c0_g1_i3::g.7741::m.7741	TSI_09905-RA	TPA_13186-RA	TGE_09783-RA	TPS_03831-RC	TDI_08942-RA
HOG_3649	TBI_06553-RA	TTE_09866-RA	TCE_02395-RA	TMS_03575-RA	TCM_00798-RB	TSI_04085-RA	TPA_07653-RA	TGE_04277-RA	TPS_01558-RA	TDI_01967-RA
HOG_3648	TBI_01953-RA	TTE_03093-RA	TCE_06396-RA	TMS_03780-RA	TCM_00871-RB	TSI_00419-RA	TPA_01159-RA	TGE_01620-RA	TPS_02164-RA	TDI_00076-RA
HOG_19861	TBI_02306-RA	TTE_03880-RA	TCE_06374-RA	TMS_05574-RA	TCM_03682-RA	TSI_01039-RA	TPA_14945-RA	TGE_07441-RA	TPS_08164-RA	TDI_09723-RA
HOG_3646	TBI_02149-RA	TTE_04064-RA	TCE_01390-RA	TMS_03680-RA	TCM_01632-RA	TSI_03161-RA	Tpa_TRINITY_DN131251_c0_g4::Tpa_TRINITY_DN131251_c0_g4_i1::g.22094::m.22094	TGE_04010-RA	TPS_03844-RA	TDI_03052-RA
HOG_4569	TBI_10305-RA	TTE_06287-RA	TCE_02803-RA	TMS_04477-RA	TCM_05731-RA	TSI_12951-RA	TPA_16501-RA	TGE_09394-RA	TPS_12763-RA	TDI_03612-RA
HOG_16302	TBI_10740-RA	TTE_11362-RA	TCE_09749-RA	TMS_01598-RA	Tcm_TRINITY_DN75826_c0_g1::Tcm_TRINITY_DN75826_c0_g1_i1::g.11081::m.11081	TSI_05825-RA	TPA_04853-RA	Tge_TRINITY_DN65486_c0_g1::Tge_TRINITY_DN65486_c0_g1_i1::g.32865::m.32865	TPS_07085-RA	Tdi_TRINITY_DN31287_c0_g1::Tdi_TRINITY_DN31287_c0_g1_i1::g.10893::m.10893
HOG_16305	TBI_07464-RA	TTE_07765-RA	TCE_06410-RA	TMS_07369-RA	TCM_06441-RA	TSI_02453-RA	TPA_00968-RA	TGE_06661-RA	TPS_05955-RA	TDI_06746-RA
HOG_16304	TBI_08904-RA	TTE_08628-RA	TCE_10938-RA	TMS_10580-RA	TCM_10571-RA	TSI_10582-RA	TPA_04911-RA	TGE_04386-RA	TPS_10610-RA	TDI_06736-RB
HOG_3641	TBI_01084-RA	TTE_03215-RA	TCE_00513-RA	TMS_00909-RA	TCM_01569-RA	TSI_01346-RA	TPA_16366-RA	TGE_02202-RA	TPS_15381-RA	TDI_01256-RA
HOG_21985	TBI_00404-RA	TTE_01869-RA	TCE_11568-RA	TMS_09452-RA	TCM_10132-RA	TSI_08692-RA	TPA_00270-RA	TGE_02148-RA	TPS_14707-RA	TDI_10305-RA
HOG_21241	TBI_10440-RA	TTE_07362-RA	TCE_07576-RA	TMS_11475-RA	TCM_10019-RA	TSI_10469-RA	Tpa_TRINITY_DN134746_c6_g1::Tpa_TRINITY_DN134746_c6_g1_i1::g.10813::m.10813	TGE_09073-RA	TPS_03582-RB	TDI_08008-RA
HOG_21988	TBI_01709-RA	TTE_03524-RA	TCE_04303-RA	TMS_01275-RA	TCM_05146-RA	TSI_03109-RA	Tpa_TRINITY_DN126082_c0_g1::Tpa_TRINITY_DN126082_c0_g1_i1::g.22869::m.22869	TGE_04897-RA	TPS_02657-RA	TDI_08127-RA
HOG_2396	Tbi_TRINITY_DN72305_c2_g1::Tbi_TRINITY_DN72305_c2_g1_i7::g.3027::m.3027	Tte_TRINITY_DN26995_c0_g1::Tte_TRINITY_DN26995_c0_g1_i1::g.3344::m.3344	Tce_TRINITY_DN92466_c1_g1::Tce_TRINITY_DN92466_c1_g1_i1::g.17745::m.17745	Tms_TRINITY_DN49276_c0_g1::Tms_TRINITY_DN49276_c0_g1_i1::g.19357::m.19357	Tcm_TRINITY_DN78528_c0_g1::Tcm_TRINITY_DN78528_c0_g1_i1::g.20682::m.20682	Tsi_TRINITY_DN29656_c7_g3::Tsi_TRINITY_DN29656_c7_g3_i2::g.21575::m.21575	Tpa_TRINITY_DN122242_c0_g1::Tpa_TRINITY_DN122242_c0_g1_i1::g.16893::m.16893	Tge_TRINITY_DN17017_c0_g1::Tge_TRINITY_DN17017_c0_g1_i1::g.22504::m.22504	Tps_TRINITY_DN70280_c0_g1::Tps_TRINITY_DN70280_c0_g1_i1::g.16503::m.16503	Tdi_TRINITY_DN9468_c0_g1::Tdi_TRINITY_DN9468_c0_g1_i1::g.17249::m.17249
HOG_12788	TBI_02065-RA	TTE_01255-RA	TCE_01376-RA	TMS_02394-RA	TCM_00995-RA	TSI_02573-RA	TPA_02763-RA	TGE_01741-RA	TPS_00183-RA	TDI_00672-RA
HOG_2394	TBI_06330-RA	TTE_09306-RA	TCE_05622-RA	TMS_06339-RA	TCM_05233-RA	TSI_10472-RA	TPA_10594-RA	TGE_05002-RA	TPS_07164-RA	TDI_02837-RA
HOG_2395	TBI_03641-RA	TTE_08817-RA	TCE_03500-RA	TMS_00992-RA	TCM_03353-RA	TSI_11615-RA	TPA_14164-RA	TGE_11988-RA	TPS_01234-RA	TDI_12537-RA
HOG_2390	TBI_01223-RA	TTE_01734-RA	TCE_00961-RA	TMS_00930-RA	TCM_01378-RA	TSI_00683-RA	TPA_09940-RA	TGE_02435-RA	Tps_TRINITY_DN64330_c0_g1::Tps_TRINITY_DN64330_c0_g1_i2::g.17059::m.17059	Tdi_TRINITY_DN28913_c3_g1::Tdi_TRINITY_DN28913_c3_g1_i1::g.23059::m.23059
HOG_2391	TBI_10820-RA	TTE_10310-RA	Tce_TRINITY_DN91837_c0_g1::Tce_TRINITY_DN91837_c0_g1_i1::g.1755::m.1755	TMS_09178-RA	TCM_03891-RA	TSI_09366-RA	TPA_07799-RA	TGE_07461-RA	TPS_04310-RA	TDI_04149-RA
HOG_20430	TBI_00450-RA	TTE_00912-RA	TCE_00933-RA	TMS_01446-RA	TCM_01868-RA	TSI_01537-RA	TPA_16198-RA	TGE_00235-RA	TPS_01916-RA	TDI_02502-RA
HOG_245	Tbi_TRINITY_DN69954_c2_g1::Tbi_TRINITY_DN69954_c2_g1_i2::g.18894::m.18894	Tte_TRINITY_DN8845_c0_g1::Tte_TRINITY_DN8845_c0_g1_i2::g.21705::m.21705	Tce_TRINITY_DN102409_c2_g4::Tce_TRINITY_DN102409_c2_g4_i3::g.17743::m.17743	Tms_TRINITY_DN31341_c2_g1::Tms_TRINITY_DN31341_c2_g1_i1::g.17887::m.17887	Tcm_TRINITY_DN105082_c0_g2::Tcm_TRINITY_DN105082_c0_g2_i6::g.15441::m.15441	TSI_08614-RA	TPA_02847-RA	Tge_TRINITY_DN38888_c0_g1::Tge_TRINITY_DN38888_c0_g1_i2::g.18365::m.18365	Tps_TRINITY_DN94589_c6_g4::Tps_TRINITY_DN94589_c6_g4_i5::g.16084::m.16084	Tdi_TRINITY_DN32210_c1_g4::Tdi_TRINITY_DN32210_c1_g4_i1::g.11090::m.11090
HOG_17369	TBI_05552-RA	TTE_09104-RA	TCE_10924-RA	TMS_07610-RB	TCM_04888-RA	TSI_03698-RA	TPA_00695-RA	TGE_01488-RA	TPS_04193-RA	TDI_05731-RA
HOG_2398	TBI_02114-RB	TTE_03550-RA	TCE_06239-RA	TMS_02882-RA	TCM_05285-RA	TSI_07308-RA	Tpa_TRINITY_DN135022_c0_g1::Tpa_TRINITY_DN135022_c0_g1_i1::g.15523::m.15523	TGE_09839-RA	TPS_06429-RA	TDI_13512-RA
HOG_2399	TBI_14066-RA	TTE_06407-RA	TCE_13863-RA	TMS_08109-RA	Tcm_TRINITY_DN89291_c0_g1::Tcm_TRINITY_DN89291_c0_g1_i1::g.18389::m.18389	TSI_13925-RA	Tpa_TRINITY_DN134517_c2_g2::Tpa_TRINITY_DN134517_c2_g2_i1::g.15983::m.15983	TGE_03566-RA	TPS_15446-RA	TDI_08572-RA
